Student ID,Age,Gender,High School GPA,University - Ranking,University - GPA,Field of Study,Internships Completed,Projects Completed,Certifications,Job Offers,Starting Salary,Current Job Level,Entrepreneurship
S01710,25,Male,3.52,170,2.04,Arts,2,9,3,3,42200,Executive,No
S03579,26,Female,3.27,626,2.28,Mathematics,2,8,0,2,57800,Senior,No
S03907,21,Male,3.8,503,2.83,Business,1,2,1,2,54900,Senior,No
S04012,24,Female,3.36,260,3.46,Computer Science,2,9,2,4,45400,Entry,No
S04398,24,Female,3.67,84,3.2,Arts,1,0,5,3,46900,Entry,No
S04585,22,Male,2.23,240,2.16,Medicine,4,9,1,4,77300,Mid,No
S00797,20,Male,2.58,620,2.51,Mathematics,0,8,2,2,54000,Mid,No
S02686,29,Male,2.43,52,2.68,Engineering,3,5,4,4,55100,Mid,No
S03995,20,Male,2.51,136,2.56,Computer Science,2,7,3,3,26500,Senior,No
S04029,26,Male,3.82,738,3.8,Engineering,0,9,4,2,64600,Entry,No
S04289,20,Female,3.9,779,3.12,Engineering,4,6,3,0,61700,Entry,No
S04338,18,Female,3.62,497,3.52,Business,4,5,0,3,35500,Mid,No
S04715,28,Female,3.92,597,3.22,Arts,4,5,0,2,54800,Entry,No
S00394,19,Male,2.02,129,3.21,Medicine,2,5,0,3,43900,Senior,No
S02784,21,Male,3.24,999,3.86,Business,2,3,0,2,71600,Mid,Yes
S02899,23,Male,2.98,900,2.02,Law,0,9,5,3,54100,Mid,Yes
S03936,23,Male,3.94,292,2.1,Law,3,7,1,0,25000,Entry,No
S01210,25,Female,2.32,397,3.76,Mathematics,4,6,4,1,25000,Senior,No
S01320,19,Female,2.38,931,2.9,Mathematics,3,3,1,4,25000,Senior,No
S01840,29,Female,3.11,76,2.81,Mathematics,2,8,1,2,27200,Mid,No
S03686,23,Male,3.18,470,3.36,Business,0,1,0,5,32900,Entry,No
S00063,29,Female,2.47,597,2.89,Computer Science,0,0,4,1,65600,Entry,No
S00796,23,Male,3.74,56,3.79,Business,0,5,2,5,44600,Entry,No
S01421,22,Male,3.54,18,3.99,Business,3,5,4,3,44400,Entry,Yes
S01646,21,Female,2.51,430,3.94,Engineering,2,5,4,3,25000,Mid,No
S02440,23,Male,2.39,746,3.43,Business,2,1,4,2,51400,Entry,No
S02647,19,Male,2.12,257,2.35,Mathematics,3,8,0,1,68500,Entry,Yes
S02893,22,Female,2.41,112,3.94,Mathematics,1,3,0,3,52500,Mid,No
S03032,27,Female,2.28,519,2.55,Law,1,5,3,1,25000,Mid,No
S00710,22,Male,3.16,2,2.12,Computer Science,4,1,0,5,73600,Entry,No
S02846,21,Male,3.34,990,3.8,Engineering,2,6,3,1,34100,Senior,No
S03038,18,Male,2.36,412,3.31,Law,1,6,1,5,47800,Entry,Yes
S03239,29,Male,3.19,52,2.27,Law,0,1,5,0,46000,Mid,No
S03341,20,Female,3.97,974,2.79,Mathematics,2,4,0,4,54000,Entry,No
S04288,26,Female,3.53,839,2.91,Business,1,2,3,1,74200,Mid,No
S00767,28,Male,2.51,579,3.9,Computer Science,1,1,1,4,34500,Mid,No
S00953,24,Male,2.5,483,3.34,Mathematics,4,2,5,2,56400,Mid,Yes
S01429,23,Female,2.37,678,2.45,Arts,4,3,3,0,25000,Entry,No
S02134,18,Male,2.94,667,3.27,Law,1,0,3,4,25000,Mid,No
S02366,18,Female,2.28,414,2.28,Medicine,0,4,4,1,73200,Mid,Yes
S02490,29,Male,2.69,452,2.38,Law,1,7,0,5,49800,Entry,No
S03136,27,Female,3.02,468,3.28,Law,0,2,4,1,25000,Mid,No
S00789,22,Female,2.45,138,2.05,Engineering,0,4,1,2,51400,Entry,No
S01484,28,Male,3.88,340,2.59,Law,0,5,3,0,57000,Entry,No
S01656,19,Female,2.7,756,2.79,Mathematics,0,2,5,0,25000,Entry,Yes
S03371,20,Male,2.67,574,2.34,Engineering,3,1,1,2,56400,Senior,No
S00138,20,Female,2.04,993,3.37,Engineering,1,5,2,4,51500,Entry,Yes
S02529,25,Male,3.7,28,2.54,Business,3,0,0,1,32200,Entry,No
S03430,29,Female,2.21,356,3.66,Arts,1,7,5,1,63000,Executive,No
S03611,21,Male,3.85,559,2.51,Mathematics,0,9,0,0,58000,Mid,Yes
S03941,19,Female,2.21,382,2.99,Law,1,0,0,4,50800,Entry,No
S03115,28,Male,2.83,340,3.95,Engineering,4,2,0,0,51400,Entry,No
S04419,21,Male,3.42,406,3.49,Medicine,4,4,2,0,35800,Mid,No
S04746,28,Male,3.29,695,3.53,Business,3,5,5,3,38600,Senior,Yes
S00861,18,Female,3.82,349,2.7,Law,1,3,1,4,61600,Mid,No
S02518,23,Female,3.4,735,3.13,Engineering,0,9,0,0,40700,Mid,No
S04371,24,Female,2.14,174,3.45,Business,2,8,1,2,45200,Executive,No
S04430,22,Female,2.61,291,3.47,Engineering,3,3,0,5,76900,Mid,No
S04634,27,Male,2.68,327,2.32,Computer Science,1,7,1,5,31700,Entry,No
S04903,19,Female,3.11,124,2.21,Computer Science,2,7,3,0,39300,Entry,No
S00140,20,Female,2.83,948,2.83,Medicine,1,5,4,2,36100,Senior,No
S00457,25,Male,2.46,335,2.33,Computer Science,1,8,0,4,67100,Mid,No
S04036,29,Male,2.21,383,3.18,Engineering,3,7,2,5,59700,Entry,No
S04235,23,Female,2.3,76,3.13,Engineering,3,5,4,4,55200,Entry,No
S04693,21,Male,2.15,702,2.16,Arts,3,3,3,0,52800,Mid,Yes
S02108,26,Male,3.18,330,3.95,Law,3,6,2,3,26900,Entry,No
S02332,28,Female,3.48,981,2.71,Law,2,8,5,0,50400,Entry,No
S02436,23,Female,2.42,766,2.1,Engineering,3,9,0,2,25000,Mid,No
S02654,28,Female,2.16,673,3.94,Medicine,4,0,2,3,39300,Entry,No
S02670,27,Female,2.39,728,2.79,Arts,0,1,1,0,58000,Senior,Yes
S03627,20,Male,2.01,929,3.3,Business,4,5,4,5,64100,Senior,No
S04892,23,Male,2.73,522,2.93,Computer Science,4,8,4,1,66600,Entry,No
S00116,28,Female,2.1,78,3.79,Medicine,2,3,0,4,89100,Senior,Yes
S00226,23,Male,2.05,310,2.05,Computer Science,1,4,2,2,25000,Entry,No
S00644,26,Male,3.86,693,2.13,Medicine,0,6,3,2,25000,Mid,No
S01032,22,Male,3.53,680,2.26,Mathematics,1,7,2,1,33500,Executive,No
S01106,26,Female,2.81,210,2.81,Law,3,1,0,5,38100,Mid,No
S02008,26,Male,2.47,756,2.36,Medicine,1,4,5,1,56700,Mid,No
S02528,20,Male,3.85,435,3.92,Medicine,0,9,3,4,38900,Mid,Yes
S03088,26,Female,3.64,889,2.95,Arts,3,9,3,4,26200,Mid,Yes
S03365,18,Female,3.56,477,3.55,Arts,4,2,3,1,54200,Mid,No
S03544,19,Male,3.34,505,2.15,Mathematics,0,3,1,5,30300,Mid,No
S03939,24,Female,2.67,619,2.4,Medicine,4,1,2,2,55300,Entry,No
S04538,26,Female,2.8,58,2.42,Engineering,2,5,1,3,58700,Executive,Yes
S04632,29,Female,3.63,903,3.25,Arts,1,1,3,0,43400,Entry,No
S04961,29,Male,3.49,599,2.73,Medicine,3,8,2,3,25000,Mid,Yes
S00113,20,Male,2.7,270,3.4,Mathematics,4,3,2,2,58300,Entry,No
S00211,21,Male,2.37,197,2.93,Business,0,4,0,5,54200,Entry,No
S00708,28,Male,3.16,222,3.59,Computer Science,3,3,4,2,25000,Mid,No
S01385,29,Female,3.11,656,2.65,Medicine,4,5,0,5,41100,Mid,No
S01437,29,Female,3.37,360,2.08,Computer Science,3,3,4,1,37100,Entry,No
S01641,25,Male,3.88,390,2.03,Computer Science,1,4,5,5,25000,Mid,No
S02551,21,Male,3,158,3.27,Engineering,4,9,3,0,52900,Entry,Yes
S03200,22,Female,4,900,3.53,Engineering,3,6,2,0,81900,Entry,No
S03445,24,Male,3.63,622,3.76,Mathematics,0,1,2,0,56200,Entry,No
S04259,18,Female,3.76,91,3.17,Business,4,0,0,2,38100,Mid,No
S04737,22,Male,3.07,462,3.37,Mathematics,4,5,4,0,79700,Senior,No
S04915,25,Male,2.06,116,3.89,Engineering,3,8,1,2,38900,Senior,No
S00068,18,Male,3.58,783,3.49,Mathematics,1,0,3,3,25000,Mid,No
S00338,18,Male,2.91,466,3.86,Mathematics,2,7,3,2,31000,Entry,No
S00464,25,Male,3.8,741,2.26,Engineering,1,6,1,4,73000,Entry,Yes
S01166,19,Male,3.91,638,2.28,Computer Science,0,9,4,1,85500,Entry,Yes
S01631,29,Male,3.65,525,2.47,Business,1,1,3,0,25000,Entry,No
S02139,22,Male,2.91,651,3.83,Mathematics,0,3,0,1,43400,Senior,No
S04684,19,Male,3.84,333,3.27,Law,3,5,2,0,62700,Senior,No
S04775,18,Female,3.9,242,2.92,Arts,0,2,0,2,47300,Mid,Yes
S01016,29,Male,2.2,82,3.29,Engineering,0,9,1,3,62600,Entry,No
S02249,29,Male,2.59,946,2.21,Medicine,1,0,1,3,53000,Entry,No
S00427,24,Male,2.81,931,2.44,Arts,4,7,2,0,47200,Entry,No
S02141,22,Male,3.39,531,3.46,Business,4,8,2,4,75500,Mid,No
S02263,23,Male,2.18,116,2.39,Computer Science,3,6,5,1,79800,Senior,Yes
S02300,29,Female,2.95,901,3.34,Business,2,8,5,1,35000,Entry,Yes
S02889,20,Male,2.57,880,3.8,Business,2,6,1,3,54000,Mid,Yes
S04984,19,Male,2.47,941,3.81,Law,2,8,2,5,49900,Entry,No
S01600,28,Female,2.08,841,3.34,Engineering,1,2,2,4,38500,Entry,Yes
S03074,22,Female,2.87,413,3.11,Business,4,4,1,3,44900,Mid,No
S00388,20,Male,2.17,312,2.99,Arts,2,8,3,3,65900,Senior,No
S01123,25,Female,3.17,685,3.26,Law,3,6,4,0,40800,Entry,No
S01942,19,Male,2.43,881,2.97,Medicine,1,6,4,2,66400,Entry,Yes
S02958,26,Female,2.75,300,3.95,Law,1,0,0,5,43300,Mid,No
S03018,29,Female,2.91,260,2.37,Mathematics,1,9,1,3,48100,Mid,No
S03194,18,Male,3.57,724,2.85,Arts,1,8,2,2,44400,Entry,No
S04640,24,Male,2.57,775,2.7,Computer Science,3,7,3,2,32900,Entry,No
S04796,29,Female,4,42,2.67,Medicine,3,0,1,5,41800,Mid,No
S00092,22,Female,2.18,22,3.5,Law,1,5,5,0,33300,Senior,No
S01063,21,Female,2.84,143,3.12,Medicine,2,8,3,3,85700,Entry,No
S02017,24,Male,2.96,775,3.38,Arts,4,3,5,2,59000,Entry,No
S02350,27,Female,3.36,545,2.83,Mathematics,2,2,0,2,34900,Entry,No
S03384,25,Male,2.54,570,3.46,Medicine,4,3,3,2,63700,Senior,No
S03592,26,Female,2.11,315,3.9,Mathematics,1,4,4,4,55200,Entry,No
S04293,26,Female,2.78,360,3.44,Business,0,9,1,1,56500,Mid,No
S00811,21,Female,3.89,611,2.59,Arts,2,6,0,0,56200,Entry,No
S00864,27,Male,2.74,290,3.86,Engineering,4,0,2,4,53500,Entry,No
S01253,29,Male,3.47,687,3.91,Mathematics,0,2,3,4,25000,Executive,No
S04072,18,Female,2.79,706,2.78,Business,0,2,3,4,35700,Mid,No
S04381,25,Female,3.46,176,3.7,Mathematics,3,0,5,0,32300,Mid,Yes
S04719,20,Male,2.83,312,3.09,Arts,1,5,1,2,50900,Senior,No
S02465,29,Female,3.59,924,2.34,Engineering,4,5,0,1,25100,Entry,Yes
S03786,19,Male,2.58,529,2.38,Business,4,8,1,4,41400,Mid,No
S04004,29,Female,3.25,971,3.97,Medicine,0,0,4,0,59200,Entry,No
S04134,29,Male,3.12,685,2.7,Mathematics,4,1,3,1,62900,Entry,No
S04368,25,Female,3.52,305,2.36,Law,1,5,1,5,39700,Entry,Yes
S01579,24,Male,3.44,911,3.22,Medicine,2,5,3,5,57600,Mid,No
S04274,27,Female,2.24,851,2.48,Engineering,2,1,2,3,75500,Entry,No
S04509,21,Male,2.96,619,3.27,Engineering,2,4,3,0,69700,Mid,No
S04729,25,Female,2.37,397,3.86,Law,1,5,4,3,43300,Entry,No
S00141,22,Male,2.54,114,2.2,Law,1,3,2,0,25000,Entry,Yes
S00206,26,Female,3.47,776,3.29,Business,1,4,1,3,63500,Senior,No
S00297,24,Male,3.06,825,2.14,Mathematics,0,5,1,4,74900,Entry,No
S00468,24,Male,2.25,210,2.83,Arts,2,0,4,2,47500,Executive,No
S01100,20,Male,2.05,545,3.07,Engineering,1,0,1,0,57400,Senior,No
S01516,28,Female,3.39,761,3.89,Law,1,4,4,4,25000,Mid,No
S02063,19,Female,3.92,230,2.51,Arts,2,2,1,2,59400,Mid,No
S03626,21,Male,3.74,200,3.07,Arts,3,0,1,3,80200,Mid,No
S04339,23,Male,2.82,343,3.96,Engineering,4,7,3,1,40900,Entry,No
S04348,22,Male,2.41,749,3.64,Engineering,0,0,2,4,35300,Mid,No
S04824,29,Female,3.1,829,2.77,Law,0,1,3,4,65200,Entry,No
S04864,24,Female,2.2,476,2.37,Business,0,8,5,2,57800,Mid,No
S00475,29,Female,3.9,962,2.17,Engineering,3,7,3,2,75100,Entry,Yes
S00712,20,Male,2.73,394,2.98,Computer Science,1,8,1,4,28400,Senior,No
S01007,20,Male,2.5,24,2.05,Mathematics,0,2,0,3,52000,Entry,No
S03598,19,Male,3.79,933,3.67,Arts,2,6,0,3,43500,Entry,No
S03842,26,Male,3.92,231,3.48,Engineering,0,1,0,2,64000,Mid,No
S04384,21,Female,2.42,932,3.45,Law,1,5,1,4,58000,Senior,No
S01061,25,Male,3.04,787,2.96,Business,0,9,5,1,42500,Senior,Yes
S03844,21,Male,2.35,343,3.94,Arts,2,1,2,3,61700,Entry,No
S04062,25,Male,2.67,347,2.74,Computer Science,1,9,3,0,43700,Entry,No
S04192,18,Male,2.41,237,3.2,Arts,2,8,2,2,75900,Entry,No
S00633,27,Female,2.34,503,3.11,Engineering,3,6,5,1,41400,Entry,Yes
S01805,28,Male,3.41,86,2.55,Medicine,2,3,5,2,67100,Entry,No
S02040,19,Male,3.72,615,2.79,Engineering,4,1,2,2,44800,Entry,No
S03428,24,Male,3.49,501,2.86,Computer Science,1,9,3,0,42800,Entry,No
S03706,22,Male,3.86,538,2.71,Law,4,2,0,4,56300,Senior,No
S04282,24,Male,3.83,306,3.22,Medicine,0,4,2,2,65300,Executive,No
S04559,21,Male,2.94,20,2.54,Law,2,2,0,0,71100,Executive,Yes
S04959,26,Female,2.07,905,2.6,Engineering,3,4,5,3,40600,Executive,No
S00197,22,Female,3.99,470,2.82,Business,4,2,1,5,62200,Mid,No
S00205,25,Female,2.31,865,2.41,Engineering,1,8,1,1,49200,Entry,Yes
S01470,25,Male,2.36,326,3.71,Computer Science,4,9,0,5,25000,Senior,No
S01576,25,Female,2.18,673,3.27,Medicine,0,1,0,5,44500,Mid,Yes
S01929,25,Male,2.39,178,3.09,Mathematics,0,8,0,0,47600,Mid,Yes
S02166,21,Female,2.74,952,2.98,Medicine,1,6,2,3,62900,Entry,No
S02455,27,Female,2.31,399,2,Mathematics,2,9,4,0,25000,Entry,No
S03676,24,Male,3.72,967,3.25,Law,2,7,3,4,41600,Entry,No
S03731,24,Female,3,395,2.68,Engineering,2,0,3,5,52900,Entry,No
S03783,20,Male,2.1,196,3.6,Mathematics,2,3,2,4,47000,Senior,No
S00906,23,Male,2.15,979,2.24,Medicine,1,6,4,4,53000,Senior,No
S01025,26,Female,2.36,24,2.82,Business,3,5,5,3,45800,Mid,No
S01115,24,Male,2.94,614,3.4,Arts,3,9,3,1,61900,Senior,Yes
S02855,24,Male,3.66,914,2.05,Engineering,1,6,3,2,56200,Entry,No
S03813,27,Male,2.54,558,3.94,Law,3,9,4,4,52500,Mid,No
S04104,26,Male,2.54,80,3.01,Law,0,2,4,5,63800,Entry,No
S02187,19,Male,2.02,172,2.93,Engineering,2,1,1,2,65200,Entry,Yes
S02188,19,Female,3.87,212,3.55,Computer Science,1,5,5,3,77900,Entry,No
S02433,25,Female,3.51,548,2.15,Mathematics,0,1,5,0,33900,Mid,Yes
S02826,22,Female,3.44,387,3.44,Medicine,0,4,1,3,64500,Mid,No
S03297,27,Male,3.03,629,3.91,Medicine,2,7,0,4,25000,Mid,No
S04624,24,Male,3.88,522,2.6,Law,1,2,1,3,42900,Senior,No
S04783,19,Male,2.97,504,2.3,Engineering,0,0,4,0,25000,Mid,Yes
S02018,29,Female,2.45,996,3.33,Law,3,3,1,2,58700,Entry,No
S02450,24,Female,2.03,524,2.22,Computer Science,4,4,2,5,65700,Mid,No
S03258,27,Male,3.64,217,2.8,Business,4,0,4,1,42900,Mid,No
S03978,24,Male,3.2,628,3.77,Medicine,0,6,4,5,28700,Mid,No
S04119,28,Male,3.56,893,2.86,Law,1,3,2,1,57000,Entry,No
S04203,19,Male,2.37,126,3.95,Mathematics,2,5,4,4,25000,Entry,Yes
S00288,21,Female,3.53,512,2.65,Arts,1,5,0,4,57600,Mid,No
S02432,23,Male,3.7,367,2.92,Business,4,8,0,2,66300,Entry,No
S02769,28,Male,3.02,617,3.53,Law,2,2,4,4,41100,Senior,No
S04138,27,Male,2.66,406,2.91,Computer Science,0,2,0,0,53100,Entry,No
S04515,24,Male,2.01,570,2.86,Medicine,4,4,2,5,48400,Mid,No
S04707,19,Female,3.96,675,3.06,Computer Science,4,5,2,2,47800,Entry,Yes
S01619,19,Female,2.06,145,3.07,Medicine,0,9,1,4,35800,Executive,No
S03188,19,Male,2.8,653,3.35,Engineering,4,4,0,5,57400,Executive,Yes
S03552,20,Female,3.78,259,3.41,Arts,4,6,4,0,44300,Mid,No
S00149,26,Female,2.23,312,2.45,Arts,3,1,4,3,49600,Mid,No
S00783,18,Female,2.66,56,3.99,Engineering,1,6,0,0,37700,Mid,No
S02792,20,Female,3.59,525,3.78,Business,3,6,3,1,79900,Entry,No
S02804,24,Female,2.72,877,2.23,Computer Science,0,7,4,0,33400,Executive,No
S02812,23,Male,2.42,223,2.98,Law,2,5,0,5,47100,Mid,No
S03634,28,Male,2.33,972,2.02,Mathematics,0,9,0,2,48500,Entry,No
S03771,21,Male,2.93,821,2.22,Medicine,3,5,0,4,38500,Entry,No
S04412,24,Male,2.34,791,2.24,Computer Science,1,1,0,0,61300,Entry,No
S00148,28,Female,3.72,592,2.81,Arts,4,6,4,2,50700,Senior,No
S01264,18,Male,3.07,393,3.01,Law,4,5,3,5,55200,Mid,No
S03205,26,Male,3.09,743,3.79,Engineering,4,5,0,4,58200,Entry,No
S04822,18,Female,2.09,46,2.87,Computer Science,4,2,2,1,54800,Mid,No
S00438,27,Female,2.16,387,3.82,Computer Science,4,1,2,5,37300,Entry,No
S00868,18,Male,2.34,956,2.85,Business,2,3,4,5,39800,Senior,No
S01282,25,Male,3.1,99,3.23,Arts,1,1,0,0,65400,Mid,No
S03509,25,Male,2.06,425,2.48,Law,4,8,1,4,75100,Mid,No
S00040,29,Female,3.57,918,3.58,Business,2,2,5,3,50200,Entry,Yes
S00897,20,Male,3.48,373,3.15,Business,3,2,2,5,51900,Senior,No
S02117,22,Male,3.4,93,3.63,Arts,1,9,2,3,60300,Senior,Yes
S02355,25,Male,2.76,321,3.71,Engineering,1,2,3,3,25000,Entry,No
S04488,26,Female,3.97,204,3.21,Business,2,0,0,0,62300,Mid,No
S04767,26,Female,3.22,36,2.17,Law,0,8,3,0,46600,Entry,No
S00321,19,Female,3.99,448,3.99,Arts,3,8,4,5,52000,Entry,No
S00902,29,Male,2.89,642,2.54,Business,0,5,5,5,31500,Entry,Yes
S02365,27,Female,3.18,616,3.79,Engineering,4,1,4,1,57900,Mid,No
S02650,18,Female,4,430,3.02,Mathematics,3,8,5,5,52900,Entry,No
S02799,19,Male,3.46,40,2.77,Arts,1,7,3,3,64400,Entry,No
S03977,25,Male,3.48,555,2.76,Engineering,0,6,2,5,67000,Mid,Yes
S04236,23,Female,3.16,788,2.8,Medicine,3,3,2,3,44300,Senior,No
S04453,18,Male,2.35,416,2.08,Business,3,3,5,5,66200,Senior,No
S00616,21,Male,2.97,593,3.76,Mathematics,2,8,3,4,57100,Executive,Yes
S01178,27,Male,3.76,469,3.25,Law,4,4,4,0,25000,Mid,No
S01852,28,Male,2.48,318,3.1,Arts,3,2,4,2,57400,Mid,No
S02643,27,Male,2.62,807,2.75,Arts,1,1,1,3,62200,Entry,No
S04050,20,Female,2.39,123,3.74,Law,1,5,1,5,55300,Senior,No
S04615,22,Male,3.7,27,3.49,Medicine,1,7,0,4,40800,Mid,No
S00204,23,Male,3.94,694,3.44,Law,0,0,2,1,37300,Mid,Yes
S01669,18,Female,3.5,736,2.07,Business,1,4,3,5,39100,Mid,Yes
S01719,22,Female,2.2,570,2.06,Business,4,5,3,1,31500,Executive,No
S01860,26,Male,3.67,232,2.39,Law,4,6,1,0,25000,Entry,No
S01964,29,Male,3.88,840,3.36,Law,4,4,3,1,68900,Entry,No
S02693,25,Male,3.7,921,3.48,Law,3,7,1,0,45200,Senior,No
S03091,18,Male,2.02,301,3.54,Engineering,3,1,2,0,68400,Mid,No
S03137,29,Female,2.99,928,2.65,Computer Science,0,8,5,5,37100,Entry,Yes
S04428,27,Male,3.66,994,2.45,Arts,1,7,2,0,59300,Senior,No
S00030,23,Female,2.93,636,3.79,Mathematics,4,1,5,0,38300,Executive,No
S00419,18,Male,3.77,662,3.57,Law,0,3,4,2,25000,Entry,No
S01109,25,Male,2.4,599,3.94,Law,0,6,1,0,60700,Mid,No
S04039,29,Female,3.59,692,3.28,Law,4,1,5,2,41500,Mid,Yes
S00339,29,Male,3.21,889,3.36,Medicine,4,8,4,2,48100,Executive,No
S00731,29,Female,2.7,973,3.72,Law,2,6,3,2,66100,Senior,No
S01705,26,Female,2.95,715,2.38,Engineering,3,7,3,2,25000,Entry,No
S02004,20,Female,4,969,3.48,Mathematics,2,1,1,3,45900,Entry,No
S02318,18,Male,3.75,706,2.29,Arts,3,5,2,1,50100,Entry,No
S03010,25,Female,2.14,137,2.84,Mathematics,3,6,5,4,25700,Entry,No
S03064,18,Male,2.74,936,3.63,Law,0,7,4,4,25100,Entry,No
S03068,22,Male,3.96,796,2.87,Business,4,5,4,4,40300,Entry,No
S03712,18,Female,2.66,700,3.87,Engineering,1,8,0,2,43900,Entry,Yes
S04195,28,Female,2.15,558,2.55,Mathematics,4,2,1,3,58000,Senior,No
S00592,22,Female,3.66,959,2.48,Law,1,8,1,4,60100,Entry,No
S00938,27,Female,2.2,63,2.14,Arts,4,0,1,0,53100,Entry,No
S01455,20,Female,2.44,682,2.54,Mathematics,3,6,2,5,49900,Entry,No
S03053,26,Male,2.55,288,3.7,Law,4,6,5,0,61000,Senior,No
S03690,26,Male,3.89,986,3.2,Medicine,0,1,4,2,55800,Entry,No
S03824,19,Female,3.95,342,2.32,Computer Science,1,4,2,4,57000,Entry,No
S04879,24,Male,2.59,580,3.16,Arts,2,8,0,5,52900,Executive,No
S04929,23,Female,2.22,421,2.53,Medicine,0,4,3,4,43500,Mid,No
S04939,22,Female,3.95,839,2.43,Mathematics,1,0,4,2,74700,Executive,No
S04956,28,Female,2.53,755,2.88,Business,1,7,3,2,74400,Entry,No
S00336,20,Female,3.62,785,2.52,Mathematics,3,3,2,0,42800,Entry,No
S00753,18,Female,2.08,556,3.56,Computer Science,1,7,5,3,37900,Entry,No
S01933,19,Female,3.72,608,3.21,Mathematics,3,7,4,4,68900,Senior,No
S02112,26,Male,3.57,190,3.46,Engineering,2,1,1,0,47000,Mid,No
S02751,21,Female,2.05,575,2.55,Business,4,6,0,4,51200,Entry,No
S03800,20,Female,3.32,495,3.73,Engineering,0,1,0,5,48600,Mid,No
S04369,26,Female,2.64,466,2.43,Mathematics,0,5,5,4,50900,Entry,No
S04814,23,Female,2.87,622,3.06,Mathematics,4,7,2,0,44900,Mid,No
S00070,19,Female,2.23,802,2.7,Law,3,8,2,0,64600,Senior,No
S00732,25,Male,3.42,721,3.24,Mathematics,2,8,0,0,66700,Entry,No
S01477,21,Male,3.08,557,2.97,Law,0,5,5,0,62600,Entry,Yes
S03486,26,Female,3.74,403,3.61,Medicine,0,4,5,5,37300,Mid,Yes
S04946,24,Female,3.35,551,2.93,Computer Science,3,3,2,5,25000,Mid,No
S00135,25,Female,3.92,241,2.58,Business,3,6,5,4,73800,Entry,Yes
S01075,22,Female,2.15,328,3.15,Engineering,3,0,4,5,43700,Entry,No
S01364,22,Female,2.08,774,3.84,Business,3,4,0,1,32000,Mid,No
S02710,26,Male,2.71,988,2.13,Engineering,4,1,0,5,51200,Entry,Yes
S02902,26,Male,2.78,657,2.98,Medicine,2,5,1,2,61000,Mid,No
S03036,21,Female,3.13,378,3.32,Medicine,0,6,2,0,57300,Entry,Yes
S03394,21,Female,3.86,593,3.99,Law,1,9,3,0,64100,Senior,Yes
S03578,18,Male,2.85,737,3.76,Medicine,2,8,3,1,25000,Entry,Yes
S03781,19,Male,3.16,946,2.12,Arts,2,2,4,3,75500,Senior,Yes
S04137,29,Male,2.97,741,3.93,Engineering,2,9,5,1,79300,Entry,No
S01525,20,Female,2.99,259,2.6,Computer Science,2,8,1,0,59000,Mid,No
S01972,28,Male,2.86,376,3.53,Computer Science,0,6,3,0,33700,Mid,Yes
S03910,19,Female,2.47,528,2.9,Law,2,6,4,3,39400,Senior,No
S04463,22,Male,2.84,425,2.62,Medicine,0,5,5,4,61400,Mid,No
S00787,20,Male,2.8,114,2.67,Arts,4,3,0,1,56800,Entry,No
S01499,27,Male,2.83,494,2.99,Mathematics,3,5,5,1,43600,Mid,No
S01998,24,Female,2.72,996,3.48,Business,0,6,0,3,53700,Mid,No
S02101,18,Male,2.34,919,2.11,Business,3,8,3,5,34300,Entry,No
S02996,26,Female,2.02,861,3.88,Mathematics,2,3,2,2,71300,Entry,No
